Temperature,Humidity,Rainfall,Wind,Decision to go
High,Dry,Rainy,High,No
High,Moist,Cloudy,Low,Yes
Low,Dry,Sunny,High,Yes
Low,Moist,Sunny,Low,No
Moderate,Moist,Cloudy,High,No
Moderate,Dry,Rainy,High,No
High,Dry,Cloudy,High,Yes
Low,Moist,Sunny,High,Yes
Moderate,Moist,Rainy,Low,No
Moderate,Dry,Rainy,Low,Yes
High,Dry,Cloudy,High,No
Low,Moist,Sunny,High,No
High,Dry,Rainy,Low,Yes
High,Dry,Cloudy,High,Yes
Low,Moist,Sunny,High,Yes
Moderate,Moist,Rainy,Low,No
Moderate,Dry,Rainy,Low,Yes
High,Dry,Cloudy,High,No
Low,Moist,Sunny,High,No
High,Dry,Rainy,Low,Yes
Low,Dry,Sunny,High,Yes
Low,Moist,Sunny,Low,No
Moderate,Moist,Cloudy,High,No
Moderate,Dry,Rainy,High,No
High,Dry,Cloudy,High,Yes
Low,Moist,Sunny,High,Yes
Moderate,Moist,Rainy,Low,No
Moderate,Dry,Rainy,Low,Yes
Low,Moist,Sunny,High,Yes
Moderate,Moist,Rainy,Low,No
Moderate,Dry,Rainy,Low,Yes
High,Dry,Cloudy,High,No
Low,Moist,Sunny,High,No
High,Dry,Rainy,Low,Yes
High,Dry,Cloudy,High,Yes
Low,Moist,Sunny,High,Yes
Moderate,Moist,Rainy,Low,No
Moderate,Dry,Rainy,Low,Yes
High,Dry,Rainy,High,No
High,Moist,Cloudy,Low,Yes
Low,Dry,Sunny,High,Yes
Low,Moist,Sunny,Low,No
Moderate,Moist,Cloudy,High,No
